"node1_mic","node2_mic","pMIC","pLSA","pSparCC","pMENA_PCC","pMENA_SCC","MIC","LSA","SparCC"
"OTU196900135","OTU1969004",0.918,NA,0,NA,NA,0.160112494299011,NA,0.537273681674
"OTU196900136","OTU1969004",0.068,NA,0,NA,NA,0.508725674387315,NA,0.654194069063
"OTU196900137","OTU1969004",0.008,NA,0.6,NA,NA,0.605289106106858,NA,0.544911792512
"OTU196900138","OTU1969004",0.222,NA,0,NA,NA,0.370506500549505,NA,-0.593187726574
"OTU196900139","OTU1969004",0.247,NA,0.8,NA,NA,0.370506500549505,NA,0.0806819995728
"OTU196900140","OTU1969004",0.015,NA,0.6,NA,NA,0.689391746743088,NA,0.174521388447
"OTU196900141","OTU1969004",0.152,NA,0.6,NA,NA,0.370506500549505,NA,0.113717531428
"OTU196900142","OTU1969004",0.199,NA,0.2,NA,NA,0.370506500549505,NA,0.334569244735
"OTU196900143","OTU1969004",0.922,NA,0,NA,NA,0.160112494299011,NA,0.48223584959
"OTU196900144","OTU1969004",0.915,NA,0.2,NA,NA,0.151835501362341,NA,0.287280915643
"OTU196900145","OTU1969004",0.924,NA,0.4,NA,NA,0.160112494299011,NA,0.371949675953
"OTU196900146","OTU1969004",0.918,NA,0.4,NA,NA,0.151835501362341,NA,0.308645100681
"OTU196900148","OTU1969004",1,NA,0.4,NA,NA,0.0753959373497118,NA,0.332630142125
"OTU196900149","OTU1969004",0.867,NA,1,NA,NA,0.139438576795409,NA,0.0174170307733
"OTU196900150","OTU1969004",0.929,NA,0.4,NA,NA,0.160112494299011,NA,-0.128704757259
"OTU196900151","OTU1969004",0.222,NA,0,NA,NA,0.370506500549505,NA,0.436904075953
"OTU196900152","OTU1969004",0.901,NA,0,NA,NA,0.113400864181103,NA,0.46940973544
"OTU196900153","OTU1969004",0.144,NA,0.6,NA,NA,0.370506500549505,NA,-0.152564958606
"OTU196900154","OTU1969004",0.064,NA,0.2,NA,NA,0.508725674387315,NA,0.502331219097
"OTU196900155","OTU1969004",0.011,NA,0.8,NA,NA,0.689391746743088,NA,-0.0388839443562
"OTU196900156","OTU1969004",0.941,NA,0.4,NA,NA,0.151835501362341,NA,0.236189396761
"OTU196900157","OTU1969004",0.078,NA,0,NA,NA,0.508725674387315,NA,0.558504837488
"OTU196900158","OTU1969004",0.017,NA,0.2,NA,NA,0.689391746743088,NA,0.251533663373
"OTU196900159","OTU1969004",0.02,NA,1,NA,NA,0.689391746743088,NA,-0.0875942801586
"OTU196900160","OTU1969004",0.46,NA,0.2,NA,NA,0.256981189242354,NA,0.435044429619
"OTU196900161","OTU1969004",0.929,NA,0.2,NA,NA,0.151835501362341,NA,0.418488701658
"OTU196900162","OTU1969004",0.069,NA,0.6,NA,NA,0.508725674387315,NA,0.189004247852
"OTU196900163","OTU1969004",0.833,NA,0.8,NA,NA,0.139438576795409,NA,-0.0213198175746
"OTU196900164","OTU1969004",0.913,NA,0.4,NA,NA,0.160112494299011,NA,0.48879402385
"OTU196900166","OTU1969004",0.98,NA,0.4,NA,NA,0.0793039725984684,NA,0.28554535837
"OTU196900168","OTU1969004",0.072,NA,0,NA,NA,0.508725674387315,NA,0.534959128296
"OTU196900171","OTU1969004",0.923,NA,0.2,NA,NA,0.160112494299011,NA,0.408895986503
"OTU196900172","OTU1969004",0.231,NA,1,NA,NA,0.370506500549505,NA,0.0822029251425
"OTU196900175","OTU1969004",0.055,NA,0.8,NA,NA,0.508725674387315,NA,0.0151709394576
"OTU196900176","OTU1969004",0.215,NA,1,NA,NA,0.370506500549505,NA,0.272029055636
"OTU196900178","OTU1969004",0.223,NA,0.2,NA,NA,0.370506500549505,NA,0.442618500523
"OTU196900179","OTU1969004",0.017,NA,0,NA,NA,0.689391746743088,NA,0.654516154446
"OTU196900180","OTU1969004",0.067,NA,0.6,NA,NA,0.508725674387315,NA,0.320974539967
"OTU196900181","OTU1969004",0.285,NA,0,NA,NA,0.257831462459772,NA,0.604468665483
"OTU196900182","OTU1969004",0.856,NA,1,NA,NA,0.160112494299011,NA,0.0513718916432
"OTU196900183","OTU1969004",0.075,NA,0.2,NA,NA,0.508725674387315,NA,0.147487548604
"OTU196900184","OTU1969004",0.882,NA,1,NA,NA,0.160112494299011,NA,0.0775089806463
"OTU196900185","OTU1969004",0.014,NA,0.2,NA,NA,0.689391746743088,NA,0.455173718309
"OTU196900186","OTU1969004",0.294,NA,0,NA,NA,0.257831462459772,NA,0.396679620066
"OTU196900187","OTU1969004",0.776,NA,0.8,NA,NA,0.160112494299011,NA,-0.0370416009112
"OTU196900188","OTU1969004",0.711,NA,0.4,NA,NA,0.160112494299011,NA,0.343214613269
"OTU196900189","OTU1969004",0.459,NA,0,NA,NA,0.256981189242354,NA,0.471912547571
"OTU196900190","OTU1969004",0.732,NA,0.8,NA,NA,0.160112494299011,NA,-0.0964920743088
"OTU196900191","OTU1969004",0.637,NA,1,NA,NA,0.198117421130403,NA,0.0670828433696
"OTU196900192","OTU1969004",0.009,NA,0.6,NA,NA,0.689391746743088,NA,0.303788120397
"OTU196900193","OTU1969004",0.737,NA,0.2,NA,NA,0.160112494299011,NA,-0.138690504666
"OTU196900194","OTU1969004",0.141,NA,0.4,NA,NA,0.370506500549505,NA,-0.339434847207
"OTU196900195","OTU1969004",0.18,NA,0.2,NA,NA,0.370506500549505,NA,-0.355630745337
"OTU196900196","OTU1969004",0.219,NA,0.8,NA,NA,0.370506500549505,NA,0.279931714796
"OTU196900197","OTU1969004",0.148,NA,0,NA,NA,0.370506500549505,NA,0.589469165617
"OTU196900198","OTU1969004",0.226,NA,0.6,NA,NA,0.370506500549505,NA,0.279322333965
"OTU196900199","OTU1969004",0.474,NA,0.2,NA,NA,0.256981189242354,NA,0.21038618652
"OTU196900201","OTU1969004",0.24,NA,0,NA,NA,0.370506500549505,NA,0.719902158874
"OTU196900202","OTU1969004",0.233,NA,0.2,NA,NA,0.370506500549505,NA,0.265039180731
"OTU196900203","OTU1969004",0.516,NA,0,NA,NA,0.256981189242354,NA,-0.627771032127
"OTU196900204","OTU1969004",0.072,NA,1,NA,NA,0.508725674387315,NA,-0.0102483115375
"OTU196900205","OTU1969004",0.153,NA,0.8,NA,NA,0.370506500549505,NA,0.124279248103
"OTU196900208","OTU1969004",0.016,NA,0,NA,NA,0.689391746743088,NA,0.616451563621
"OTU196900209","OTU1969004",0.251,NA,1,NA,NA,0.370506500549505,NA,0.180882043435
"OTU196900210","OTU1969004",0.584,NA,0,NA,NA,0.256981189242354,NA,-0.773323576891
"OTU196900211","OTU1969004",0.019,NA,0.6,NA,NA,0.689391746743088,NA,0.187531444287
"OTU196900213","OTU1969004",0.073,NA,0.2,NA,NA,0.508725674387315,NA,0.375182056989
"OTU196900214","OTU1969004",0.147,NA,0,NA,NA,0.370506500549505,NA,0.702719783028
"OTU196900215","OTU1969004",0.483,NA,0,NA,NA,0.256981189242354,NA,0.573068719687
"OTU196900217","OTU1969004",0.92,NA,0,NA,NA,0.160112494299011,NA,-0.587079768532
"OTU196900218","OTU1969004",0.067,NA,0.2,NA,NA,0.508725674387315,NA,0.628784087668
